Year,January,February,March,April,May,June,July,August,September,October,November,December
2007,-1.386,0.686,-4.554,-0.097,1.172,4.169,7.882,10.123,9.23,6.616,3.884,2.386
2008,-0.499,-5.575,-6.779,-1.463,0.822,3.147,6.613,9.075,8.981,6.743,3.501,1.61
2009,-4.492,-2.423,-2.569,-1.141,1.457,3.459,6.521,8.792,8.26,6.933,4.611,2.315
2010,-1.161,-4.884,-8.053,-2.154,0.825,3.241,6.714,8.686,8.897,6.814,4.302,2.224
2011,-0.485,-0.83,-1.599,-0.908,1.211,3.717,6.244,8.226,8.064,6.765,4.393,2.125
2012,-4.407,-4.591,-7.376,-2.635,-0.054,2.127,6.518,8.451,7.87,5.896,3.425,0.797
2013,-0.458,-6.196,-4.029,-1.658,0.938,3.76,7.093,10.097,9.052,7.086,5.347,3.005
2014,2.226,0.241,-1.225,1.049,2.992,5.864,9.228,11.573,11.391,8.18,5.377,4.568
2015,3.114,1.041,-0.022,0.394,2.537,5.507,8.416,10.596,10.061,8.057,5.592,3.586
2016,2.792,2.317,1.09,1.51,3.731,7.178,10.457,11.79,11.211,8.934,6.591,3.762
2017,2.501,0.002,-1.165,0.679,2.897,6.145,8.267,10.161,9.339,7.523,5.773,3.569
2018,2.204,1.893,2.293,2.566,3.706,6.043,8.563,9.854,10.132,9.051,6.66,3.865
2019,0.841,1.713,2.572,2.921,4.047,7.127,9.867,11.705,11.103,8.775,6.253,3.681
2020,-0.047,-2.216,-1.231,1.051,2.856,6.081,7.94,10.282,9.634,7.266,5.19,2.94
2021,0.808,0.38,0.55,1.409,2.715,5.299,7.792,9.864,10.027,6.726,3.835,2.108
2022,-1.963,-2.305,-1.479,0.175,2.409,5.515,7.622,9.03,8.733,6.731,4.605,2.958
2023,-0.021,-0.723,0.013,0.132,1.9,4.463,7.329,9.174,8.866,7.105,5.197,-999.999
