"","Mean_error","Max_error","sd_error","correlations","Age","Model"
"1",0.203336348766551,0.549840559405219,0.150649772644571,0.799979577702984,2,1
"2",0.153319223085163,0.420719078175342,0.11640994673028,0.875771148988713,2,2
"3",0.147473825444413,0.424001735077338,0.109693447554162,0.894661626158583,2,3
"4",0.161243030531959,0.522947081346541,0.136293615554268,0.862067413089803,2,4
"5",0.154251574334193,0.341334460195724,0.107528761747956,0.877095921581812,2,5
"6",0.152094075743831,0.346116811794345,0.104016659389021,0.871972724744685,2,6
"7",0.134795156491431,0.275980782226247,0.0764881181237173,0.889820696403674,2,7
"8",0.145692893287186,0.440385492057096,0.10334233329579,0.892216454244692,2,8
"9",0.157554758231822,0.432575729203552,0.121479990328412,0.854418648905384,2,9
"10",0.151110315671528,0.439775198704007,0.112394006859377,0.862384555562063,2,10
"11",0.174986239348525,0.35077690476768,0.117308257469245,0.826464898279891,NA,11
"12",0.190044496873108,0.380260806056854,0.120429796963324,0.814398090004066,NA,12
"13",0.193699444137216,0.671257022487449,0.176205926150929,0.860018447207919,3,1
"14",0.171989182581315,0.519307891453147,0.123086017270222,0.89239500261818,3,2
"15",0.139319982848568,0.579034537519216,0.153621725448734,0.877034543820815,3,3
"16",0.177938012169117,0.63976580642707,0.161979506715873,0.876863204391504,3,4
"17",0.13395790705615,0.340710621515514,0.108348177193836,0.875003111449505,3,5
"18",0.136860053473566,0.45099347711375,0.140860788109751,0.867132071080092,3,6
"19",0.120308321439931,0.28452985183635,0.101157918218617,0.888838570572562,3,7
"20",0.132904724306499,0.530618680279263,0.141683468386357,0.895843881995399,3,8
"21",0.1751566491209,0.517986648421265,0.142187951766636,0.854494455966198,3,9
"22",0.16932693894365,0.488877719820695,0.108209928209845,0.890176719273755,3,10
"23",0.174986239348525,0.35077690476768,0.117308257469245,0.826464898279891,NA,11
"24",0.190044496873108,0.380260806056854,0.120429796963324,0.814398090004066,NA,12
